# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2025-10-30 12:55:20 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03451500 FRENCH BROAD RIVER AT ASHEVILLE, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 03451500
#            TS   parameter     Description
#        249448       00400     pH, water, unfiltered, field, standard units
#        249452       00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#        249456       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#        308772       63160     Stream water level elevation above NAVD 1988, in feet
#        350941       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), FINAL
#         90197       00010     Temperature, water, degrees Celsius
#         90198       00060     Discharge, cubic feet per second
#         90199       00065     Gage height, feet
#         90202       00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     >  Actual value is known to be greater than reported value.
# 
agency_cd	site_no	datetime	tz_cd	249448_00400	249448_00400_cd	249452_00300	249452_00300_cd	249456_00095	249456_00095_cd	308772_63160	308772_63160_cd	350941_63680	350941_63680_cd	90197_00010	90197_00010_cd	90198_00060	90198_00060_cd	90199_00065	90199_00065_cd	90202_00045	90202_00045_cd
USGS	03451500	2024-09-20 05:15	EDT	7.2	A	7.8	A	54	A	1951.59	A	17.2	P	20.4	A	1130	A	1.66	A	0.00	A
USGS	03451500	2024-09-20 05:30	EDT	7.2	A	7.8	A	54	A	1951.59	A	16.4	P	20.4	A	1130	A	1.66	A	0.00	A
USGS	03451500	2024-09-20 05:45	EDT	7.2	A	7.8	A	54	A	1951.58	A	15.6	P	20.3	A	1110	A	1.65	A	0.00	A
USGS	03451500	2024-09-20 06:00	EDT	7.1	A	7.8	A	53	A	1951.58	A	17.3	P	20.3	A	1110	A	1.65	A	0.00	A
USGS	03451500	2024-09-20 06:15	EDT	7.1	A	7.8	A	53	A	1951.58	A	15.4	P	20.2	A	1110	A	1.65	A	0.00	A
USGS	03451500	2024-09-20 06:30	EDT	7.1	A	7.8	A	53	A	1951.58	A	15.8	P	20.2	A	1110	A	1.65	A	0.00	A
USGS	03451500	2024-09-20 06:45	EDT	7.1	A	7.9	A	53	A	1951.57	A	15.4	P	20.2	A	1100	A	1.64	A	0.00	A
USGS	03451500	2024-09-20 07:00	EDT	7.1	A	7.9	A	53	A	1951.57	A	16.0	P	20.1	A	1100	A	1.64	A	0.00	A
USGS	03451500	2024-09-20 07:15	EDT	7.1	A	7.9	A	52	A	1951.57	A	15.4	P	20.1	A	1100	A	1.64	A	0.00	A
USGS	03451500	2024-09-20 07:30	EDT	7.1	A	7.9	A	52	A	1951.56	A	15.4	P	20.1	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 07:45	EDT	7.1	A	7.9	A	52	A	1951.56	A	15.2	P	20.0	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 08:00	EDT	7.1	A	7.9	A	52	A	1951.56	A			20.0	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 08:15	EDT	7.1	A	7.9	A	52	A	1951.56	A	14.9	P	20.0	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 08:30	EDT	7.1	A	7.9	A	52	A	1951.55	A	16.2	P	20.0	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 08:45	EDT	7.1	A	7.9	A	52	A	1951.55	A	14.7	P	19.9	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 09:00	EDT	7.1	A	7.9	A	52	A	1951.55	A	14.9	P	19.9	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 09:15	EDT	7.1	A	7.9	A	52	A	1951.55	A	15.1	P	19.9	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 09:30	EDT	7.1	A	8.0	A	52	A	1951.55	A	14.4	P	19.9	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 09:45	EDT	7.1	A	8.0	A	52	A	1951.55	A	14.1	P	19.9	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 10:00	EDT	7.2	A	8.0	A	52	A	1951.55	A	14.1	P	19.9	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 10:15	EDT	7.2	A	8.0	A	52	A	1951.55	A	14.0	P	19.9	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 10:30	EDT	7.2	A	8.0	A	52	A	1951.55	A	13.9	P	19.9	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 10:45	EDT	7.2	A	8.1	A	52	A	1951.55	A	14.6	P	19.9	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 11:00	EDT	7.2	A	8.1	A	52	A	1951.55	A	14.7	P	19.9	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 11:15	EDT	7.2	A	8.1	A	52	A	1951.55	A	14.2	P	20.0	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 11:30	EDT	7.2	A	8.1	A	52	A	1951.55	A	14.0	P	20.0	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 11:45	EDT	7.2	A	8.2	A	52	A	1951.55	A	13.5	P	20.1	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 12:00	EDT	7.2	A	8.2	A	52	A	1951.55	A	13.6	P	20.2	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 12:15	EDT	7.2	A	8.2	A	52	A	1951.55	A	13.2	P	20.2	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 12:30	EDT	7.2	A	8.3	A	52	A	1951.55	A	13.1	P	20.4	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 12:45	EDT	7.2	A	8.3	A	51	A	1951.55	A	13.3	P	20.5	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 13:00	EDT	7.3	A	8.3	A	51	A	1951.56	A	13.1	P	20.6	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 13:15	EDT	7.3	A	8.4	A	52	A	1951.56	A	13.3	P	20.7	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 13:30	EDT	7.3	A	8.4	A	51	A	1951.56	A	12.7	P	20.9	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 13:45	EDT	7.3	A	8.4	A	51	A	1951.56	A	13.4	P	21.0	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 14:00	EDT	7.3	A	8.4	A	51	A	1951.56	A	12.6	P	21.2	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 14:15	EDT	7.3	A	8.5	A	51	A	1951.56	A	12.9	P	21.2	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 14:30	EDT	7.3	A	8.5	A	52	A	1951.56	A	12.9	P	21.3	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 14:45	EDT	7.4	A	8.5	A	52	A	1951.56	A	12.4	P	21.5	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 15:00	EDT	7.4	A	8.5	A	52	A	1951.56	A	13.1	P	21.6	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 15:15	EDT	7.4	A	8.5	A	52	A	1951.56	A	12.6	P	21.7	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 15:30	EDT	7.4	A	8.5	A	52	A	1951.56	A	12.5	P	21.8	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 15:45	EDT	7.4	A	8.5	A	52	A	1951.56	A	12.4	P	22.0	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 16:00	EDT	7.4	A	8.6	A	52	A	1951.56	A	11.5	P	22.0	A	1090	A	1.63	A	0.00	A
USGS	03451500	2024-09-20 16:15	EDT	7.4	A	8.6	A	52	A	1951.55	A	11.8	P	22.1	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 16:30	EDT	7.4	A	8.6	A	52	A	1951.55	A	11.8	P	22.2	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 16:45	EDT	7.5	A	8.6	A	52	A	1951.55	A	12.5	P	22.3	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 17:00	EDT	7.5	A	8.6	A	53	A	1951.55	A	11.9	P	22.3	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 17:15	EDT	7.5	A	8.6	A	53	A	1951.55	A	11.8	P	22.3	A	1070	A	1.62	A	0.00	A
USGS	03451500	2024-09-20 17:30	EDT	7.5	A	8.6	A	53	A	1951.54	A	11.4	P	22.4	A	1060	A	1.61	A	0.00	A
USGS	03451500	2024-09-20 17:45	EDT	7.5	A	8.6	A	53	A	1951.54	A	11.8	P	22.4	A	1060	A	1.61	A	0.00	A
USGS	03451500	2024-09-20 18:00	EDT	7.5	A	8.5	A	53	A	1951.54	A	11.5	P	22.3	A	1060	A	1.61	A	0.00	A
USGS	03451500	2024-09-20 18:15	EDT	7.5	A	8.5	A	53	A	1951.54	A	11.4	P	22.2	A	1060	A	1.61	A	0.00	A
USGS	03451500	2024-09-20 18:30	EDT	7.4	A	8.4	A	53	A	1951.53	A	11.3	P	22.2	A	1050	A	1.60	A	0.00	A
USGS	03451500	2024-09-20 18:45	EDT	7.4	A	8.4	A	53	A	1951.53	A	11.4	P	22.2	A	1050	A	1.60	A	0.00	A
USGS	03451500	2024-09-20 19:00	EDT	7.4	A	8.4	A	53	A	1951.53	A	10.6	P	22.1	A	1050	A	1.60	A	0.00	A
USGS	03451500	2024-09-20 19:15	EDT	7.4	A	8.3	A	53	A	1951.53	A	11.4	P	22.1	A	1050	A	1.60	A	0.00	A
USGS	03451500	2024-09-20 19:30	EDT	7.4	A	8.3	A	53	A	1951.52	A	11.1	P	22.1	A	1040	A	1.59	A	0.00	A
USGS	03451500	2024-09-20 19:45	EDT	7.4	A	8.3	A	53	A	1951.52	A	11.6	P	22.0	A	1040	A	1.59	A	0.00	A
USGS	03451500	2024-09-20 20:00	EDT	7.4	A	8.2	A	53	A	1951.52	A	11.2	P	22.0	A	1040	A	1.59	A	0.00	A
USGS	03451500	2024-09-20 20:15	EDT	7.4	A	8.2	A	53	A	1951.51	A	10.8	P	22.0	A	1020	A	1.58	A	0.00	A
USGS	03451500	2024-09-20 20:30	EDT	7.4	A	8.2	A	53	A	1951.51	A	11.9	P	22.0	A	1020	A	1.58	A	0.00	A
USGS	03451500	2024-09-20 20:45	EDT	7.4	A	8.2	A	53	A	1951.51	A	12.2	P	22.0	A	1020	A	1.58	A	0.00	A
USGS	03451500	2024-09-20 21:00	EDT	7.3	A	8.2	A	54	A	1951.50	A	12.1	P	22.0	A	1010	A	1.57	A	0.00	A
USGS	03451500	2024-09-20 21:15	EDT	7.3	A	8.2	A	54	A	1951.50	A	11.5	P	21.9	A	1010	A	1.57	A	0.00	A
USGS	03451500	2024-09-20 21:30	EDT	7.3	A	8.1	A	54	A	1951.50	A	11.1	P	21.9	A	1010	A	1.57	A	0.00	A
USGS	03451500	2024-09-20 21:45	EDT	7.3	A	8.1	A	54	A	1951.49	A	12.1	P	21.9	A	1000	A	1.56	A	0.00	A
USGS	03451500	2024-09-20 22:00	EDT	7.3	A	8.1	A	54	A	1951.49	A	11.2	P	21.9	A	1000	A	1.56	A	0.00	A
USGS	03451500	2024-09-20 22:15	EDT	7.3	A	8.1	A	54	A	1951.49	A	11.6	P	21.8	A	1000	A	1.56	A	0.00	A
USGS	03451500	2024-09-20 22:30	EDT	7.3	A	8.0	A	54	A	1951.48	A	11.8	P	21.8	A	987	A	1.55	A	0.00	A
USGS	03451500	2024-09-20 22:45	EDT	7.3	A	8.0	A	54	A	1951.48	A	11.8	P	21.8	A	987	A	1.55	A	0.00	A
USGS	03451500	2024-09-20 23:00	EDT	7.3	A	8.0	A	54	A	1951.48	A			21.8	A	987	A	1.55	A	0.00	A
USGS	03451500	2024-09-20 23:15	EDT	7.3	A	8.0	A	54	A	1951.48	A	11.9	P	21.8	A	987	A	1.55	A	0.00	A
USGS	03451500	2024-09-20 23:30	EDT	7.3	A	8.0	A	54	A	1951.48	A	11.7	P	21.8	A	987	A	1.55	A	0.00	A
USGS	03451500	2024-09-20 23:45	EDT	7.3	A	7.9	A	54	A	1951.47	A	11.8	P	21.8	A	975	A	1.54	A	0.00	A
USGS	03451500	2024-09-21 00:00	EDT	7.3	A	7.9	A	54	A	1951.47	A			21.7	A	975	A	1.54	A	0.00	A
USGS	03451500	2024-09-21 00:15	EDT	7.3	A	7.9	A	54	A	1951.47	A	11.5	P	21.7	A	975	A	1.54	A	0.00	A
USGS	03451500	2024-09-21 00:30	EDT	7.3	A	7.9	A	54	A	1951.47	A	11.4	P	21.7	A	975	A	1.54	A	0.00	A
USGS	03451500	2024-09-21 00:45	EDT	7.2	A	7.9	A	54	A	1951.46	A	11.3	P	21.7	A	963	A	1.53	A	0.00	A
USGS	03451500	2024-09-21 01:00	EDT	7.2	A	7.8	A	54	A	1951.46	A	11.8	P	21.7	A	963	A	1.53	A	0.00	A
USGS	03451500	2024-09-21 01:15	EDT	7.2	A	7.8	A	54	A	1951.46	A	11.2	P	21.7	A	963	A	1.53	A	0.00	A
USGS	03451500	2024-09-21 01:30	EDT	7.2	A	7.8	A	55	A	1951.46	A	11.4	P	21.6	A	963	A	1.53	A	0.00	A
USGS	03451500	2024-09-21 01:45	EDT	7.2	A	7.8	A	55	A	1951.46	A	11.4	P	21.6	A	963	A	1.53	A	0.00	A
USGS	03451500	2024-09-21 02:00	EDT	7.2	A	7.8	A	55	A	1951.46	A	11.5	P	21.6	A	963	A	1.53	A	0.00	A
USGS	03451500	2024-09-21 02:15	EDT	7.2	A	7.8	A	55	A	1951.45	A	11.5	P	21.6	A	951	A	1.52	A	0.00	A
USGS	03451500	2024-09-21 02:30	EDT	7.2	A	7.7	A	55	A	1951.45	A	11.5	P	21.6	A	951	A	1.52	A	0.00	A
USGS	03451500	2024-09-21 02:45	EDT	7.2	A	7.7	A	55	A	1951.45	A	11.7	P	21.5	A	951	A	1.52	A	0.00	A
USGS	03451500	2024-09-21 03:00	EDT	7.2	A	7.7	A	55	A	1951.45	A			21.5	A	951	A	1.52	A	0.00	A
USGS	03451500	2024-09-21 03:15	EDT	7.2	A	7.7	A	55	A	1951.45	A	11.3	P	21.5	A	951	A	1.52	A	0.00	A
USGS	03451500	2024-09-21 03:30	EDT	7.2	A	7.7	A	55	A	1951.44	A	10.9	P	21.5	A	939	A	1.51	A	0.00	A
USGS	03451500	2024-09-21 03:45	EDT	7.2	A	7.7	A	55	A	1951.44	A			21.5	A	939	A	1.51	A	0.00	A
USGS	03451500	2024-09-21 04:00	EDT	7.2	A	7.7	A	55	A	1951.44	A	11.5	P	21.4	A	939	A	1.51	A	0.00	A
USGS	03451500	2024-09-21 04:15	EDT	7.2	A	7.7	A	55	A	1951.44	A	12.2	P	21.4	A	939	A	1.51	A	0.00	A
USGS	03451500	2024-09-21 04:30	EDT	7.2	A	7.7	A	55	A	1951.44	A	11.3	P	21.4	A	939	A	1.51	A	0.00	A
USGS	03451500	2024-09-21 04:45	EDT	7.2	A	7.7	A	55	A	1951.44	A	10.9	P	21.4	A	939	A	1.51	A	0.00	A
USGS	03451500	2024-09-21 05:00	EDT	7.2	A	7.7	A	55	A	1951.43	A	12.2	P	21.3	A	928	A	1.50	A	0.00	A
USGS	03451500	2024-09-21 05:15	EDT	7.2	A	7.7	A	55	A	1951.43	A	12.2	P	21.3	A	928	A	1.50	A	0.00	A
USGS	03451500	2024-09-21 05:30	EDT	7.2	A	7.7	A	55	A	1951.43	A			21.2	A	928	A	1.50	A	0.00	A
USGS	03451500	2024-09-21 05:45	EDT	7.2	A	7.7	A	55	A	1951.43	A	11.4	P	21.2	A	928	A	1.50	A	0.00	A
USGS	03451500	2024-09-21 06:00	EDT	7.2	A	7.7	A	55	A	1951.43	A	12.0	P	21.1	A	928	A	1.50	A	0.00	A
USGS	03451500	2024-09-21 06:15	EDT	7.2	A	7.7	A	55	A	1951.43	A	11.1	P	21.0	A	928	A	1.50	A	0.00	A
USGS	03451500	2024-09-21 06:30	EDT	7.2	A	7.7	A	55	A	1951.43	A	11.7	P	21.0	A	928	A	1.50	A	0.00	A
USGS	03451500	2024-09-21 06:45	EDT	7.2	A	7.7	A	55	A	1951.42	A	12.1	P	20.9	A	916	A	1.49	A	0.00	A
USGS	03451500	2024-09-21 07:00	EDT	7.2	A	7.7	A	55	A	1951.42	A	11.9	P	20.8	A	916	A	1.49	A	0.00	A
USGS	03451500	2024-09-21 07:15	EDT	7.2	A	7.7	A	55	A	1951.42	A	12.1	P	20.8	A	916	A	1.49	A	0.00	A
USGS	03451500	2024-09-21 07:30	EDT	7.2	A	7.7	A	55	A	1951.42	A	11.9	P	20.7	A	916	A	1.49	A	0.00	A
USGS	03451500	2024-09-21 07:45	EDT	7.2	A	7.7	A	55	A	1951.42	A	11.8	P	20.7	A	916	A	1.49	A	0.00	A
USGS	03451500	2024-09-21 08:00	EDT	7.2	A	7.7	A	55	A	1951.42	A	12.2	P	20.6	A	916	A	1.49	A	0.00	A
USGS	03451500	2024-09-21 08:15	EDT	7.2	A	7.7	A	55	A	1951.42	A	11.4	P	20.6	A	916	A	1.49	A	0.00	A
USGS	03451500	2024-09-21 08:30	EDT	7.2	A	7.7	A	55	A	1951.42	A	11.2	P	20.5	A	916	A	1.49	A	0.00	A
USGS	03451500	2024-09-21 08:45	EDT	7.2	A	7.8	A	55	A	1951.41	A	11.6	P	20.4	A	904	A	1.48	A	0.00	A
USGS	03451500	2024-09-21 09:00	EDT	7.2	A	7.8	A	55	A	1951.41	A	11.2	P	20.4	A	904	A	1.48	A	0.00	A
USGS	03451500	2024-09-21 09:15	EDT	7.2	A	7.8	A	55	A	1951.41	A	11.0	P	20.4	A	904	A	1.48	A	0.00	A
USGS	03451500	2024-09-21 09:30	EDT	7.2	A	7.8	A	55	A	1951.41	A	11.1	P	20.3	A	904	A	1.48	A	0.00	A
USGS	03451500	2024-09-21 09:45	EDT	7.2	A	7.8	A	55	A	1951.41	A	11.3	P	20.3	A	904	A	1.48	A	0.00	A
USGS	03451500	2024-09-21 10:00	EDT	7.2	A	7.9	A	55	A	1951.41	A	11.0	P	20.3	A	904	A	1.48	A	0.00	A
USGS	03451500	2024-09-21 10:15	EDT	7.2	A	7.9	A	55	A	1951.41	A	11.1	P	20.3	A	904	A	1.48	A	0.00	A
USGS	03451500	2024-09-21 10:30	EDT	7.2	A	7.9	A	55	A	1951.41	A	11.0	P	20.3	A	904	A	1.48	A	0.00	A
USGS	03451500	2024-09-21 10:45	EDT	7.2	A	8.0	A	55	A	1951.41	A	11.0	P	20.3	A	904	A	1.48	A	0.00	A
USGS	03451500	2024-09-21 11:00	EDT	7.2	A	8.0	A	55	A	1951.41	A	11.0	P	20.3	A	904	A	1.48	A	0.00	A
USGS	03451500	2024-09-21 11:15	EDT	7.2	A	8.0	A	55	A	1951.41	A	11.3	P	20.4	A	904	A	1.48	A	0.00	A
USGS	03451500	2024-09-21 11:30	EDT	7.2	A	8.1	A	55	A	1951.40	A	11.0	P	20.4	A	892	A	1.47	A	0.00	A
USGS	03451500	2024-09-21 11:45	EDT	7.2	A	8.1	A	55	A	1951.40	A	11.0	P	20.5	A	892	A	1.47	A	0.00	A
USGS	03451500	2024-09-21 12:00	EDT	7.3	A	8.2	A	56	A	1951.40	A	10.9	P	20.6	A	892	A	1.47	A	0.00	A
USGS	03451500	2024-09-21 12:15	EDT	7.3	A	8.2	A	56	A	1951.40	A	10.9	P	20.7	A	892	A	1.47	A	0.00	A
USGS	03451500	2024-09-21 12:30	EDT	7.3	A	8.3	A	56	A	1951.40	A	10.9	P	20.8	A	892	A	1.47	A	0.00	A
USGS	03451500	2024-09-21 12:45	EDT	7.3	A	8.3	A	56	A	1951.40	A	10.5	P	20.9	A	892	A	1.47	A	0.00	A
USGS	03451500	2024-09-21 13:00	EDT	7.3	A	8.4	A	56	A	1951.40	A	10.8	P	21.0	A	892	A	1.47	A	0.00	A
USGS	03451500	2024-09-21 13:15	EDT	7.3	A	8.4	A	56	A	1951.40	A	10.8	P	21.2	A	892	A	1.47	A	0.00	A
USGS	03451500	2024-09-21 13:30	EDT	7.4	A	8.4	A	56	A	1951.40	A	10.7	P	21.3	A	892	A	1.47	A	0.00	A
USGS	03451500	2024-09-21 13:45	EDT	7.4	A	8.5	A	55	A	1951.40	A	10.5	P	21.4	A	892	A	1.47	A	0.00	A
USGS	03451500	2024-09-21 14:00	EDT	7.4	A	8.5	A	55	A	1951.39	A	10.6	P	21.6	A	881	A	1.46	A	0.00	A
USGS	03451500	2024-09-21 14:15	EDT	7.4	A	8.6	A	55	A	1951.39	A	9.9	P	21.7	A	881	A	1.46	A	0.00	A
USGS	03451500	2024-09-21 14:30	EDT	7.4	A	8.6	A	55	A	1951.39	A	10.4	P	21.9	A	881	A	1.46	A	0.00	A
USGS	03451500	2024-09-21 14:45	EDT	7.4	A	8.6	A	55	A	1951.39	A	9.9	P	22.0	A	881	A	1.46	A	0.00	A
USGS	03451500	2024-09-21 15:00	EDT	7.5	A	8.6	A	55	A	1951.39	A	9.8	P	22.2	A	881	A	1.46	A	0.00	A
USGS	03451500	2024-09-21 15:15	EDT	7.5	A	8.6	A	55	A	1951.39	A	10.4	P	22.3	A	881	A	1.46	A	0.00	A
USGS	03451500	2024-09-21 15:30	EDT	7.5	A	8.7	A	55	A	1951.39	A	9.8	P	22.4	A	881	A	1.46	A	0.00	A
USGS	03451500	2024-09-21 15:45	EDT	7.5	A	8.7	A	55	A	1951.38	A	9.8	P	22.4	A	869	A	1.45	A	0.00	A
USGS	03451500	2024-09-21 16:00	EDT	7.5	A	8.7	A	55	A	1951.38	A	9.9	P	22.4	A	869	A	1.45	A	0.00	A
USGS	03451500	2024-09-21 16:15	EDT	7.5	A	8.6	A	55	A	1951.38	A	9.5	P	22.4	A	869	A	1.45	A	0.00	A
USGS	03451500	2024-09-21 16:30	EDT	7.5	A	8.7	A	54	A	1951.38	A	9.5	P	22.6	A	869	A	1.45	A	0.00	A
USGS	03451500	2024-09-21 16:45	EDT	7.5	A	8.6	A	54	A	1951.38	A	9.7	P	22.6	A	869	A	1.45	A	0.00	A
